antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,0.03270624012402731,0.049402224143585464,0.022539578426403507,0.6891522333637193,13.94982200316989,0.020923817420902383,3.0580814079603726,0.9597027666393344
STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,0.049402224143585464,0.03270624012402731,0.022539578426403507,0.45624622812311405,13.94982200316989,0.020923817420902383,1.7789187126686867,0.9765586676968561
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.051250708088607974,0.04803076831340747,0.02897945797680451,0.5654450261780105,11.772558425224489,0.0265178470907025,2.190676183760713,0.9644873567552846
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.04803076831340747,0.051250708088607974,0.02897945797680451,0.6033519553072626,11.772558425224487,0.0265178470907025,2.3919172289033686,0.9612250756863974
LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD,0.04311141587907337,0.05271160669031931,0.022778092483825764,0.5283540802213001,10.023486541121397,0.02050562048614526,2.008473631562754,0.940793243879223
HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,0.05271160669031931,0.04311141587907337,0.022778092483825764,0.43212669683257915,10.023486541121395,0.02050562048614526,1.6850388612806755,0.950327610307609
HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.05131033660296354,0.05157866491756358,0.025491189887003964,0.4968041836141778,9.63197059110008,0.02284467122855231,1.8847957478947726,0.9446493617240251
HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.05157866491756358,0.05131033660296354,0.025491189887003964,0.49421965317919075,9.63197059110008,0.02284467122855231,1.8756949916307117,0.9449166228681424
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG  BLACK SKULL.,0.05005813780149668,0.05670671715214216,0.021794221996958945,0.43537820131030375,7.677718322896371,0.01895558933548652,1.6706639471535374,0.9155854750149006
LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN,0.05670671715214216,0.05005813780149668,0.021794221996958945,0.3843322818086225,7.677718322896371,0.01895558933548652,1.5429457061499174,0.9220387624427056
LUNCH BAG CARS BLUE,LUNCH BAG  BLACK SKULL.,0.04871649622849647,0.05670671715214216,0.021138308339047732,0.43390452876376984,7.6517307041354385,0.018375755766774984,1.6663148369442158,0.9138291675697305
LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,0.05670671715214216,0.04871649622849647,0.021138308339047732,0.3727655099894847,7.6517307041354385,0.018375755766774984,1.516631369801676,0.9215698109816174
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,0.07128588891207775,0.04308160162189559,0.020810351510092126,0.29192806357172735,6.7761655226708015,0.01773924124271929,1.35144234525815,0.917853946382004
JUMBO BAG STRAWBERRY,JUMBO BAG RED RETROSPOT,0.04308160162189559,0.07128588891207775,0.020810351510092126,0.48304498269896196,6.776165522670801,0.01773924124271929,1.7965085549157267,0.8908010477878685
JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,0.07128588891207775,0.0481500253421186,0.02072090873855878,0.29067335842743625,6.036826696603492,0.017288491380906785,1.3419064206409166,0.8983927849694563
JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,0.0481500253421186,0.07128588891207775,0.02072090873855878,0.43034055727554177,6.036826696603491,0.017288491380906785,1.6302970537032546,0.8765562629768391
WHITE HANGING HEART T-LIGHT HOLDER,RED HANGING HEART T-LIGHT HOLDER,0.14015682299275514,0.04621209862556275,0.03261679735249396,0.23271644330993402,5.0358336935861265,0.02613985642530722,1.2430709521378511,0.9320573446893533
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.04621209862556275,0.14015682299275514,0.03261679735249396,0.7058064516129031,5.0358336935861265,0.02613985642530722,2.922712553423748,0.8402530030583898
